UT,PY,text,com,dgr_int
2-S2.0-85074862753,2020,"assessing relations between circular economy and industry 4.0: a systematic literature review. industry 4.0 (i4.0) and circular economy (ce) are undoubtedly two of the most debated topics of the last decades. progressively, they gained the interest of policymakers, practitioners and scholars all over the world. even if they have been usually described as two independent research fields, there are some examples presenting overlaps between these topics, represented by hybrid categories like circular i4.0 and digital ce. starting from these two perspectives, an innovative framework both highlighting the links between i4.0 and ce and unveiling future research fields has been developed. basing on one of the two perspectives, results show as it is possible to enhance a set of different relations. depending on a dedicated area of either ce or i4.0 it is possible to see the prevalence of some i4.0 technology than others. however, the influence of i4.0 technologies on ce is always verified.",4,1.8228418404254148
2-S2.0-85074688306,2020,"assessing the potentials of digitalization as a tool for climate change adaptation and sustainable development in urban centres. digitalization is a key enabler of sustainable development of cities’ socio-economic dynamics with the potential to foster climate-friendly urban environments and societies. the advent of the 4th industrial revolution has seen the increased application of digitalization in several fields and at different levels. high-tech digital devices, platforms and environments are increasingly being deployed to enhance productivity, efficiency and sustainability, and improve overall well-being of urban dwellers. digitalization is projected to further impact cities in future, transform jobs and trigger life-style changes with far-reaching impacts that will ultimately affect cities’ resilience and adaptation capacities. while a growing body of research has highlighted the significance of digitalization to climate change mitigation such as reducing ghg and co2 emissions, comprehensive evaluations of the potentials of digitalization as an enabler of climate change adaptation remain scarce. this paper addresses this gap by analysing the current trend in digital revolution in relation to climate change adaptation and examines the likely challenges of digitalization. a desk research method was adopted, focusing on core digitalization concepts driving the fourth industrial revolution (ir 4.0). nine case studies in cities across various continents were selected to assess the potentials of digitalization in addressing climatic hazards and to highlight benefits from implementing digitalization, while considering the social-ecological-technological challenges and tensions around ir 4.0. our findings reveal the capabilities of digitalization in supporting more effective early warning and emergency response systems, enhancing food and water security, improving power infrastructure performance, enabling citizen engagement and participatory adaptation measures and minimizing the impacts of climatic hazards. finally, we recommend feasible pathways to overcome present risks and challenges in order to optimize the numerous opportunities offered by digitalization in support of climate change adaptation initiatives.",NA,NA
2-S2.0-84961855482,2016,"creative destruction or mere niche support? innovation policy mixes for sustainability transitions. recently, there has been an increasing interest in policy mixes in innovation studies. while it has long been acknowledged that the stimulation of innovation and technological change involves different types of policy instruments, how such instruments form policy mixes has only recently become of interest. we argue that an area in which policy mixes are particularly important is the field of sustainability transitions. transitions imply not only the development of disruptive innovations but also of policies aiming for wider change in socio-technical systems. we propose that ideally policy mixes for transitions include elements of 'creative destruction', involving both policies aiming for the 'creation' of new and for 'destabilising' the old. we develop a novel analytical framework including the two policy mix dimensions ('creation' and 'destruction') by broadening the technological innovation system functions approach, and specifically by expanding the concept of 'motors of innovation' to 'motors of creative destruction'. we test this framework by analysing 'low energy' policy mixes in finland and the uk. we find that both countries have diverse policy mixes to support energy efficiency and reduce energy demand with instruments to cover all functions on the creation side. despite the demonstrated need for such policies, unsurprisingly, destabilising functions are addressed by fewer policies, but there are empirical examples of such policies in both countries. the concept of 'motors of creative destruction' is introduced to expand innovation and technology policy debates to go beyond policy mixes consisting of technology push and demand pull instruments, and to consider a wider range of policy instruments combined in a suitable mix which may contribute to sustainability transitions.",1,14.671113518627523
2-S2.0-85041773666,2018,"disruption and low-carbon system transformation: progress and new challenges in socio-technical transitions research and the multi-level perspective. this paper firstly assesses the usefulness of christensen's disruptive innovation framework for low-carbon system change, identifying three conceptual limitations with regard to the unit of analysis (products rather than systems), limited multi-dimensionality, and a simplistic (‘point source’) conception of change. secondly, it shows that the multi-level perspective (mlp) offers a more comprehensive framework on all three dimensions. thirdly, it reviews progress in socio-technical transition research and the mlp on these three dimensions and identifies new challenges, including ‘whole system’ reconfiguration, multi-dimensional struggles, bi-directional niche-regime interactions, and an alignment conception of change. to address these challenges, transition research should further deepen and broaden its engagement with the social sciences.",1,9.601300258811113
2-S2.0-85075890378,2020,"forever stuck in old ways? pluralising incumbencies in sustainability transitions. in this viewpoint, we argue that transitions research needs to engage more firmly with the role of incumbents and various forms of incumbencies. we identify shortcomings of existing research, notably a tendency to portray incumbents as ‘villains’ wedded to resisting, slowing down or preventing transition efforts. with that in mind, the viewpoint briefly summarises shortcomings within existing research and proposes four steps for pluralising the discussion. we call attention to more emphasis on 1) a multiplicity of incumbent actor types, 2) a variety of actor strategies within (and across) organisational populations, 3) the transient nature of strategic positioning (over time), and 4) the varied resources that incumbents may deploy to support transformative change.",1,5.16203679254401
2-S2.0-85069853070,2019,"socio-technical transitions to sustainability: a review of criticisms and elaborations of the multi-level perspective. this article discusses the socio-technical transition literature, particularly the multi-level perspective, which investigates the fundamental changes in (energy, transport, housing, agro-food) systems that are needed to address persistent sustainability problems. the article positions the mlp within the wider academic debate on sustainability transformations, and reviews criticisms and seven recent elaborations of the mlp with regard to: (1) politics and power, (2) cultural discourse and framing struggles, (3) grassroots innovation, (4) multiple transition pathways, (5) incumbent firm resistance and reorientation, (6) destabilization and decline, (7) policy analysis. mobilizing insights from the wider social sciences, these elaborations have nuanced and differentiated the understanding of socio-technical transitions to sustainability and made the mlp the central pillar of a multi-facetted, cumulative research programme with a broad empirical evidence base.",1,8.074157012289378
2-S2.0-33947218831,2007,"typology of sociotechnical transition pathways. contributing to debates about transitions and system changes, this article has two aims. first, it uses criticisms on the multi-level perspective as stepping stones for further conceptual refinements. second, it develops a typology of four transition pathways: transformation, reconfiguration, technological substitution, and de-alignment and re-alignment. these pathways differ in combinations of timing and nature of multi-level interactions. they are illustrated with historical examples.",1,10.19415080347555
2-S2.0-85075861214,2020,"multi-technology interaction in socio-technical transitions: how recent dynamics in hvdc technology can inform transition theories. studies of socio-technical transitions have often focused on niche emergence or on the interaction of niche and regime technologies in a ‘single-sector’ setting. such analyses are particularly important in the early stages of transitions, when there is a primary interest in developing novel technologies. in later phases, transitions do not only involve multiple technologies but also multiple sectors, which means that the complexity of technology dynamics increases. we want to improve established frameworks—technological innovation systems and the multi-level perspective—to account for such phenomena. we study hvdc technology, which is a mature technology for electricity transmission that has remained in a niche for decades but recently gained new momentum as the ongoing transition in the electricity sector accelerated. our case highlights: i) the importance of multi-technology interaction within and across sectors, ii) an important role for innovating incumbents responding to these dynamics, and iii) an increasing relevance of multi-technology interactions and organizational responses in advanced stages of transitions. to guide our analysis, we introduce a novel multi-technology map. such a tool can be useful to complement existing frameworks.",1,6.767333880956918
2-S2.0-79957989573,2011,"the multi-level perspective on sustainability transitions: responses to seven criticisms. the multi-level perspective (mlp) has emerged as a fruitful middle-range framework for analysing socio-technical transitions to sustainability. the mlp also received constructive criticisms. this paper summarises seven criticisms, formulates responses to them, and translates these into suggestions for future research. the criticisms relate to: (1) lack of agency, (2) operationalization of regimes, (3) bias towards bottom-up change models, (4) epistemology and explanatory style, (5) methodology, (6) socio-technical landscape as residual category, and (7) flat ontologies versus hierarchical levels.",1,11.616111067881786
2-S2.0-84959560007,2016,"niche construction and empowerment through socio-political work. a meta-analysis of six low-carbon technology cases. in the sustainability transitions literature the idea of 'protective space' shielding niche innovations from unfriendly selection environments is a fundamental concept. few studies pause to consider how and by whom such protective space is created, maintained or expanded. the paper develops three propositions to deepen our understanding of the 'outward-oriented socio-political work' performed by technology advocates. the paper conducts a meta-analysis of six low-carbon technology case studies in the uk and the netherlands. in each case, analysis finds the cases relevant to the propositions, but requiring finer nuance and further development.",1,6.811260702576466
2-S2.0-85043588501,2018,"a proposed theoretical framework for actors in transformative change. in this opinion piece we suggest a number of theoretical innovations related to the representation and conceptualisation of actors and agency in transitions studies. the research field has gained significant academic and policy popularity and reached a degree of maturity that belies its youth. despite the ongoing advances and sophistications however, we argue that major lacunae remain regarding actors and agency. because transitions are reaching advanced stages with more prominent roles for actors, addressing this issue is a prerequisite for progress in transition research – something which is widely acknowledged in the field. rather than the archetypical way of conceptualising a transition as some kind of systemic fight between alternative systems (niches) and dominant systems (the regime), we present a transition as a fluid unfolding of network activities by diverse actors aligned with a particular stream, resulting in a transformed system. we emphasize that our framework is a proposition – to stimulate debate and suggest avenues of further research. the ideas in this framework have yet to prove themselves, empirically and theoretically as regards their merits for transitions research, but at least they provide a different conceptualisation of transitions with a central role for actors and agency.",1,12.034816837901333
