,UT,0,1,2
0,2-S2.0-85074862753,2.7814497452563e-309,1.0,2.41824146290556e-309
1,2-S2.0-85074688306,0.7528049045145773,0.13405089275116905,0.11314420273425373
2,2-S2.0-84961855482,0.9510461642327267,0.025786486676721274,0.02316734909055203
3,2-S2.0-85041773666,0.9734421162629335,0.014444648996242926,0.012113234740823564
4,2-S2.0-85075890378,1.0,2.948449109457923e-309,2.429032212106303e-309
5,2-S2.0-85069853070,1.0,2.749302674081657e-309,2.31372345504168e-309
6,2-S2.0-33947218831,0.8302066297555462,0.0863974277966306,0.08339594244782336
7,2-S2.0-85075861214,0.9256865876364088,0.038648912872737404,0.03566449949085388
8,2-S2.0-79957989573,0.9336478431534271,0.036704545556144164,0.02964761129042874
9,2-S2.0-84959560007,1.0,2.824395838140256e-309,2.34319397429726e-309
10,2-S2.0-85043588501,1.0,2.93264116908568e-309,2.42853362687756e-309
11,2-S2.0-85047057910,0.9219793849063346,0.04062795975194638,0.037392655341719115
12,2-S2.0-85078879689,1.0,2.605436631408266e-309,2.329346756851155e-309
13,2-S2.0-84877151015,0.9755476668370213,0.01331263104445178,0.01113970211852694
14,2-S2.0-85017540367,1.0,2.553284551090874e-309,2.27697847424112e-309
15,2-S2.0-85081276340,1.0,2.49002058771665e-309,2.136539588697823e-309
16,2-S2.0-84868194784,0.9150294150886924,0.046155171217741,0.03881541369356652
17,2-S2.0-85053733537,1.0,2.49741399517003e-309,2.126968469399805e-309
18,2-S2.0-85089082917,0.7585355950915751,0.14478670947191488,0.0966776954365101
19,2-S2.0-84962022387,0.9415570092069994,0.03129022523188588,0.027152765561114643
20,2-S2.0-85062565179,1.0,2.665167420521647e-309,2.3137245239649e-309
21,2-S2.0-84888023881,1.0,2.600741578367023e-309,2.35799219054136e-309
22,2-S2.0-85087376923,0.07495073635682122,0.24942076474843414,0.06456655833780063
23,2-S2.0-84860224992,0.1408329215836419,0.11276652060118282,0.38052591945136544
24,2-S2.0-85063341260,0.9287511946741817,0.03973496955710162,0.031513835768716775
25,2-S2.0-85047427899,0.9662730314791774,0.018711603861002835,0.01501536465981974
26,2-S2.0-85086854993,0.9614259547619985,0.020847530233410072,0.017726515004591444
27,2-S2.0-85040068583,0.9162696682895813,0.043963359545012785,0.03976697216540581
28,2-S2.0-85059850488,1.0,2.410515622117833e-309,2.05281233029266e-309
29,2-S2.0-84959420403,1.0,2.459891987461835e-309,2.08126126054449e-309
30,2-S2.0-34548304566,0.8888639498811451,0.05787092700873555,0.053265123110119335
31,2-S2.0-80855130332,0.846999598660431,0.07838543376316406,0.07461496757640497
32,2-S2.0-84934934554,0.13912832894359925,0.39494574166132773,0.08030000981977362
33,2-S2.0-84934915745,0.75732047239153,0.14574882584138546,0.09693070176708453
34,2-S2.0-84971633052,0.13404449869093005,0.11625888998980237,0.3914171951594843
35,2-S2.0-84921459540,0.9297076676040972,0.039469562581876214,0.030822769814026645
36,2-S2.0-84897614804,0.9326038600551563,0.0354194898174806,0.031976650127363136
37,2-S2.0-84926365825,0.5224176335984239,0.11307714645687672,0.11707345131023461
38,2-S2.0-84860223320,0.9435044896584869,0.03148753502951398,0.025007975311999213
39,2-S2.0-33750854361,0.8336416022516749,0.08448476233088055,0.08187363541744455
40,2-S2.0-85044536576,1.0,2.82933949811275e-309,2.356406469014677e-309
41,2-S2.0-85098523468,0.9690575465110467,0.017124797887407082,0.013817655601546196
42,2-S2.0-85044947248,1.0,2.49625511818909e-309,2.10802431450608e-309
43,2-S2.0-85101814537,0.889507787642995,0.058606210483970966,0.051886001873033945
44,2-S2.0-20344405435,0.8187013277157387,0.09133019074408111,0.08996848154018028
45,2-S2.0-85084211231,1.0,2.56376409460809e-309,2.175006620316743e-309
46,2-S2.0-85095450658,0.9533502831439467,0.025312282088372436,0.02133743476768089
47,2-S2.0-33747182788,0.9735539561152793,0.014044640784340319,0.012401403100380404
48,2-S2.0-85027928019,1.0,2.42726185941488e-309,2.052893960630566e-309
49,2-S2.0-85075336388,0.8128204292498504,0.10470219978926007,0.0824773709608894
50,2-S2.0-84975230056,0.1308700705642652,0.38867968955062676,0.07842302246499507
51,2-S2.0-85061714767,0.14758988771828477,0.11109892698123879,0.3026368964029347
52,2-S2.0-85045433913,0.9173673009752528,0.043455554418411244,0.03917714460633599
53,2-S2.0-84920553522,0.7596158810913446,0.14422796342338545,0.09615615548527005
54,2-S2.0-85020248952,0.8616540629236606,0.07508600103939879,0.06325993603694062
55,2-S2.0-84977533701,0.13371855287153975,0.11388228298787462,0.3271198871497417
56,2-S2.0-84905109980,0.9343407592121465,0.0364574980934501,0.029201742694403395
57,2-S2.0-85090322726,0.9518238755515102,0.025353400634638996,0.022822723813850837
58,2-S2.0-85059957560,0.7488213329784135,0.12712960377554597,0.12404906324604054
59,2-S2.0-84858858702,0.9856805081865332,0.00794710850928128,0.006372383304185471
60,2-S2.0-84894255727,0.6719749346142484,0.11591365810564626,0.11372814247089497
61,2-S2.0-85027196480,0.8756975778153273,0.0644871671532564,0.05981525503141618
62,2-S2.0-85077012485,0.8567828921937494,0.07369730277465061,0.06951980503160006
63,2-S2.0-85032726615,1.0,2.821686737015347e-309,2.347021941044995e-309
64,2-S2.0-85019325188,1.0,2.80956719977054e-309,2.295687416706107e-309
65,2-S2.0-85049305138,0.7779968160451282,0.11159562168255843,0.11040756227231344
66,2-S2.0-85034967468,1.0,2.510257011234837e-309,2.128953539788566e-309
67,2-S2.0-84899449837,0.9635505107034547,0.019928442222904925,0.016521047073640358
68,2-S2.0-84949256337,1.0,2.684225655832235e-309,2.319312312470127e-309
69,2-S2.0-85073077410,0.8498256279382375,0.08060204786594471,0.06957232419581785
70,2-S2.0-84941174083,0.134606706692367,0.11649642080801316,0.4096434023134056
71,2-S2.0-84939475588,0.8342539656496925,0.09748689674428952,0.06825913760601801
72,2-S2.0-84943636247,0.9141824901958975,0.04670750027500138,0.03911000952910113
73,2-S2.0-85087671626,0.9288884150712498,0.03937414335248204,0.031737441576268295
74,2-S2.0-16544374796,0.12708655974336136,0.11399920474513704,0.44724985138138623
